iter	RMSE
0	1.377274799
1	1.374687434
2	1.372309439
3	1.370614088
4	1.368837364
5	1.367211763
6	1.366114374
7	1.365020779
8	1.364074417
9	1.363219953
10	1.362403641
11	1.361713701
12	1.360943701
13	1.360541969
14	1.360041938
15	1.35960224
16	1.35896587
17	1.358646581
18	1.358288418
19	1.358030816
20	1.357688394
21	1.357432325
22	1.357084398
23	1.356672628
24	1.356350953
25	1.356110578
26	1.355892432
27	1.355636697
28	1.3553768
29	1.35518988
30	1.354952668
31	1.354742448
32	1.354551293
33	1.354403067
34	1.354172306
35	1.353767679
36	1.353599693
37	1.353429266
38	1.353254379
39	1.353010691
40	1.352850897
41	1.352678017
42	1.352539257
43	1.352376539
44	1.352166334
45	1.352077943
46	1.351856411
47	1.351652145
48	1.351579209
49	1.351401762
50	1.351290065
51	1.351119992
52	1.350961225
53	1.350743087
54	1.350640922
55	1.350522107
56	1.350379499
57	1.350254907
58	1.3501683
59	1.350055689
60	1.349941566
61	1.349863408
62	1.34975385
63	1.349520003
64	1.349425037
65	1.349302486
66	1.349138567
67	1.349005259
68	1.348819303
69	1.348759009
70	1.348603695
71	1.348495957
72	1.348382131
73	1.348284846
74	1.348184818
75	1.348093848
76	1.34799256
77	1.34783153
78	1.347725378
79	1.347633093
80	1.347535772
81	1.347423735
82	1.347297273
83	1.347200933
84	1.34706667
85	1.346959721
86	1.34681024
87	1.346651081
88	1.346575747
89	1.346519447
90	1.346411638
91	1.346332515
92	1.346195533
93	1.346102563
94	1.34598299
95	1.34592313
96	1.345814723
97	1.345736495
98	1.345620332
99	1.345486334
