iter	Passed	Remaining
0	163	16211
1	171	8396
2	178	5780
3	185	4445
4	192	3660
5	198	3113
6	205	2731
7	211	2437
8	217	2201
9	224	2023
10	231	1870
11	237	1743
12	244	1635
13	250	1538
14	259	1473
15	265	1395
16	272	1332
17	279	1271
18	286	1220
19	292	1169
20	298	1121
21	304	1080
22	311	1041
23	319	1010
24	326	980
25	333	948
26	340	920
27	347	893
28	354	868
29	360	840
30	366	816
31	373	793
32	378	769
33	386	749
34	391	727
35	398	708
36	404	689
37	410	670
38	418	654
39	424	636
40	430	619
41	437	603
42	442	586
43	449	571
44	455	557
45	463	543
46	474	534
47	483	523
48	489	509
49	497	497
50	505	485
51	512	472
52	519	460
53	526	448
54	534	437
55	540	424
56	547	412
57	553	400
58	559	388
59	565	377
60	571	365
61	578	354
62	584	343
63	590	332
64	596	321
65	602	310
66	608	299
67	614	289
68	620	278
69	626	268
70	632	258
71	637	248
72	644	238
73	649	228
74	655	218
75	662	209
76	668	199
77	675	190
78	681	181
79	687	171
80	693	162
81	699	153
82	705	144
83	711	135
84	717	126
85	724	117
86	730	109
87	735	100
88	741	91
89	747	83
90	753	74
91	759	66
92	765	57
93	771	49
94	778	40
95	783	32
96	791	24
97	798	16
98	805	8
99	812	0
